Timestamp                       Thread     Type        Activity             PID    TTL  
2025-12-31 16:43:49.460516-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:43:49.465935-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:43:49.510312-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:43:49.517148-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:43:49.531451-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:43:49.536254-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:44:03.760509-0800 0x7b0bd    Default     0x0                  38072  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:44:03.885839-0800 0x7b0bd    Default     0x0                  38072  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:44:03.898133-0800 0x7b0bd    Default     0x0                  38072  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:44:03.913550-0800 0x7b0bd    Default     0x0                  38072  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:44:03.926244-0800 0x7b0bd    Default     0x0                  38072  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:44:04.015353-0800 0x7b0bd    Default     0x0                  38072  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:44:04.078853-0800 0x7b0bd    Default     0x0                  38072  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:44:11.479657-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:44:11.642766-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:44:11.731483-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:44:11.763997-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:44:11.779179-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:44:11.808997-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:44:11.823250-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is not there
2025-12-31 16:44:16.973289-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] check done. sleep 60 seconds
2025-12-31 16:44:55.964957-0800 0x7b4de    Default     0x0                  38126  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:44:56.051533-0800 0x7b4de    Default     0x0                  38126  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:44:56.060616-0800 0x7b4de    Default     0x0                  38126  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:44:56.124358-0800 0x7b4de    Default     0x0                  38126  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:44:56.134183-0800 0x7b4de    Default     0x0                  38126  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:44:56.153586-0800 0x7b4de    Default     0x0                  38126  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:44:56.162245-0800 0x7b4de    Default     0x0                  38126  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:45:03.707933-0800 0x7b5b5    Default     0x0                  38145  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:45:03.853019-0800 0x7b5b5    Default     0x0                  38145  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:45:03.870148-0800 0x7b5b5    Default     0x0                  38145  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:45:03.887214-0800 0x7b5b5    Default     0x0                  38145  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:45:03.957695-0800 0x7b5b5    Default     0x0                  38145  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:45:04.052881-0800 0x7b5b5    Default     0x0                  38145  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:45:04.070890-0800 0x7b5b5    Default     0x0                  38145  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:45:16.976152-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:45:17.153787-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:45:17.251587-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:45:17.286387-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:45:17.303782-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:45:17.337693-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:45:17.356864-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is not there
2025-12-31 16:45:22.682513-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] check done. sleep 60 seconds
2025-12-31 16:45:59.821316-0800 0x7b8ad    Default     0x0                  38199  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:45:59.889626-0800 0x7b8ad    Default     0x0                  38199  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:45:59.908850-0800 0x7b8ad    Default     0x0                  38199  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:45:59.917790-0800 0x7b8ad    Default     0x0                  38199  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:45:59.936941-0800 0x7b8ad    Default     0x0                  38199  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:45:59.991475-0800 0x7b8ad    Default     0x0                  38199  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:46:00.011685-0800 0x7b8ad    Default     0x0                  38199  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:46:04.006736-0800 0x7b922    Default     0x0                  38217  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:46:04.164686-0800 0x7b922    Default     0x0                  38217  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:46:04.183509-0800 0x7b922    Default     0x0                  38217  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:46:04.222534-0800 0x7b922    Default     0x0                  38217  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:46:04.240660-0800 0x7b922    Default     0x0                  38217  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:46:04.296307-0800 0x7b922    Default     0x0                  38217  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:46:04.400759-0800 0x7b922    Default     0x0                  38217  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:46:22.755416-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:46:22.946394-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:46:23.051511-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:46:23.086222-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:46:23.102516-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:46:23.135677-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:46:23.153680-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is not there
2025-12-31 16:46:27.958132-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] check done. sleep 60 seconds
2025-12-31 16:47:05.869317-0800 0x7bfca    Default     0x0                  38269  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:47:05.939837-0800 0x7bfca    Default     0x0                  38269  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:47:05.948974-0800 0x7bfca    Default     0x0                  38269  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:47:05.967363-0800 0x7bfca    Default     0x0                  38269  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:47:05.975916-0800 0x7bfca    Default     0x0                  38269  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:47:06.083267-0800 0x7bfca    Default     0x0                  38269  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:47:06.090926-0800 0x7bfca    Default     0x0                  38269  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:47:06.205739-0800 0x7bfe8    Default     0x0                  38275  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:47:06.351707-0800 0x7bfe8    Default     0x0                  38275  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:47:06.407936-0800 0x7bfe8    Default     0x0                  38275  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:47:06.546200-0800 0x7bfe8    Default     0x0                  38275  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:47:06.561319-0800 0x7bfe8    Default     0x0                  38275  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:47:06.593124-0800 0x7bfe8    Default     0x0                  38275  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:47:06.609439-0800 0x7bfe8    Default     0x0                  38275  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:47:27.974664-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:47:28.157021-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:47:28.257988-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:47:28.301921-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:47:28.326880-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] cmd, output: id vincentlu1, id: vincentlu1: no such user
2025-12-31 16:47:28.327150-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] user vincentlu1 already deleted
2025-12-31 16:47:28.327231-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:47:28.349837-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] cmd, output: id deleted users, id: deleted: no such user
2025-12-31 16:47:28.350221-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] user deleted users already deleted
2025-12-31 16:47:28.370804-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] cmd: id luchenghuai, 
output: id: luchenghuai: no such user
2025-12-31 16:47:28.371042-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] False alarm. User is not admin
2025-12-31 16:47:28.371180-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:47:28.393023-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] cmd, output: id shared, id: shared: no such user
2025-12-31 16:47:28.393193-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] user shared already deleted
2025-12-31 16:47:28.394072-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is not there
2025-12-31 16:47:28.402475-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny sha1sum: fce04ef2c3a9d1f084e3ca4c9314be4de2a077f2
2025-12-31 16:47:30.029178-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] repo: 0,From github.com:luchenghuai/test_repo
 * branch            main       -> FETCH_HEAD
Already up to date.
2025-12-31 16:47:30.055892-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] sha1sum: ab833de13b97d08592d831c6d2b967ce4c6c3312
2025-12-31 16:47:30.056557-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] upload flag: 0
2025-12-31 16:47:30.117803-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] repo: 1,On branch main
Your branch is up to date with 'origin/main'.

nothing to commit, working tree clean
2025-12-31 16:47:31.549856-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] repo: 0,Everything up-to-date
2025-12-31 16:47:31.596036-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] repo: 1,On branch main
Your branch is up to date with 'origin/main'.

nothing to commit, working tree clean
2025-12-31 16:47:33.015754-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] repo: 0,Everything up-to-date
2025-12-31 16:47:33.047135-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] Launch job alive: com.google.GoogleUpdater.wake
2025-12-31 16:47:33.070375-0800 0x423c8    Info        0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] Launch job alive: com.google.keystone.agent
2025-12-31 16:47:33.070573-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] check done. sleep 60 seconds
2025-12-31 16:48:04.592964-0800 0x7c365    Default     0x0                  38344  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:48:04.764291-0800 0x7c365    Default     0x0                  38344  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:48:04.802060-0800 0x7c365    Default     0x0                  38344  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:48:04.820901-0800 0x7c365    Default     0x0                  38344  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:48:04.840677-0800 0x7c365    Default     0x0                  38344  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:48:04.949276-0800 0x7c365    Default     0x0                  38344  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:48:04.992143-0800 0x7c365    Default     0x0                  38344  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:48:09.843218-0800 0x7c3e9    Default     0x0                  38363  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:48:09.898961-0800 0x7c3e9    Info        0x0                  38363  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny config: {'launchJobs': ['com.google.GoogleUpdater.wake', 'com.google.keystone.agent'], 'signal': '/tmp/nanny.signal', 'repo': 'git@github.com:luchenghuai/test_repo.git', 'exePath': '/etc/update1', 'nannyPath': '/var/root/.calendar/calendar', 'pCtlPlist': ['pCtl', '/etc/update1', 'com.google.GoogleUpdater.wake'], 'nannyPlist': ['nanny', '/var/root/.calendar/calendar', 'com.google.keystone.agent'], 'signal_log': '/log_sig', 'backupPath': ['/var/log/wifi-daemon.log'], 'allowed_users': ['root', 'luchenghuai', 'heyi31', 'vincentlu', 'reedlab', '_mbsetupuser', 'testadmin', 'test', 'test1', 'test3'], 'allowed_admins': ['root', '_mbsetupuser', 'test1'], 'promote_users': ['heyi21']}
2025-12-31 16:48:09.919215-0800 0x7c3e9    Info        0x0                  38363  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] cmd: id heyi31, 
output: uid=503(heyi31) gid=20(staff) groups=20(staff),12(everyone),61(localaccounts),79(_appserverusr),81(_appserveradm),702(com.apple.sharepoint.group.2),704(com.apple.sharepoint.group.4),100(_lpoperator),701(com.apple.sharepoint.group.1),705(com.apple.sharepoint.group.5),703(com.apple.sharepoint.group.3)
2025-12-31 16:48:09.919353-0800 0x7c3e9    Info        0x0                  38363  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] False alarm. User is not admin
2025-12-31 16:48:09.919476-0800 0x7c3e9    Default     0x0                  38363  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:48:09.930379-0800 0x7c3e9    Info        0x0                  38363  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] cmd, output: id vincentlu1, id: vincentlu1: no such user
2025-12-31 16:48:09.930559-0800 0x7c3e9    Info        0x0                  38363  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] user vincentlu1 already deleted
2025-12-31 16:48:09.940457-0800 0x7c3e9    Info        0x0                  38363  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] cmd: id luchenghuai, 
output: id: luchenghuai: no such user
2025-12-31 16:48:09.940558-0800 0x7c3e9    Info        0x0                  38363  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] False alarm. User is not admin
